"Tag","population","ID","gh_bench","gh_col","gh_row","Sample","ChlorA","ChlorB","gluc_Conc","flav_Conc","GM_Leaf_Len","GM_Leaf_Wid","GM_TotalLeaf_Area","GM_NumberOfLeaves","Row_Field","Col_Field","Larg_Leaf_Len_Bolt","Larg_Leaf_Wid_Bolt","GM_StemHeight_Bolt","GM_Leaf_Number_Bolt","RGR1","RGR2","RGR3","RGR4","petri_dish","family","common_garden","mortality"
"c|VRPET2-3-20|Q|521","VRPET2","521",4,2,9,"521_1",0.360219335,0.0825143,0.167632028,0.076783714,46,47,6572,2,4,4,"8","12","9","3",6.08e-07,3.02e-07,-3.49e-07,-9.45e-09,"c","3-20","Q","1"
"c|VRPET2-3-20|Q|522","VRPET2","522",3,3,5,"522_1",0.27183688,0.090719495,0.203096599088803,0.108101937554967,58,63,8411,2,1,4,"Dead","Dead","Dead","Dead",1.75e-06,2.41e-07,-1.06e-08,-1.17e-07,"c","3-20","Q","0"
"c|VRPET2-3-20|Q|522","VRPET2","522",3,3,5,"522_2",0.395731485,0.111113655,0.171804945,0.089964766,67,71,8411,2,1,4,"Dead","Dead","Dead","Dead",1.75e-06,2.41e-07,-1.06e-08,-1.17e-07,"c","3-20","Q","0"
"c|VRPET2-3-20|Q|523","VRPET2","523",4,4,7,"523_1",0.32867579,0.139041195,0.215517117,0.12065918,64,59,9304,3,1,5,"Dead","Dead","Dead","Dead",1.58e-06,2.43e-07,-2.58e-07,3.95e-08,"c","3-20","Q","0"
"c|VRPET2-3-20|Q|523","VRPET2","523",4,4,7,"523_2",0.327590345,0.105479875,0.151699071,0.072039835,36,27,9304,3,1,5,"Dead","Dead","Dead","Dead",1.58e-06,2.43e-07,-2.58e-07,3.95e-08,"c","3-20","Q","0"
"d|VRPET2-3-20|Q|525","VRPET2","525",2,1,18,"525_1",0.493102515,0.19292651,0.301458521,0.138096726,42,34,4692,1,3,4,"Dead","Dead","Dead","Dead",9.58e-07,1.69e-07,-1.77e-09,2.69e-08,"d","3-20","Q","0"
"d|VRPET2-3-20|Q|525","VRPET2","525",2,1,18,"525_2",0.73193723,0.25749255,0.256194439,0.121709765,75,75,4692,1,3,4,"Dead","Dead","Dead","Dead",9.58e-07,1.69e-07,-1.77e-09,2.69e-08,"d","3-20","Q","0"
"a|VSGARO1-1-0|Q|533","VSGAR01","533",3,5,17,"533_1",0.11615454,0.040055805,0.146250138,0.071292512,51,51,5457,2,7,6,"Dead","Dead","Dead","Dead",9.06e-07,1.39e-08,1.23e-07,-3.29e-09,"a","1-0","Q","0"
"d|VSGARO1-1-0|Q|538","VSGAR01","538",3,6,2,"538_1",0.670466935,0.200771415,0.315339507,0.167437293,46,36,10695,3,7,5,"Dead","Dead","Dead","Dead",6.77e-07,-4.08e-08,-5.58e-08,3.53e-08,"d","1-0","Q","0"
"d|VSGARO1-1-0|Q|538","VSGAR01","538",3,6,2,"538_2",0.333452385,0.111898845,0.131179354,0.097752093,70,65,10695,3,7,5,"Dead","Dead","Dead","Dead",6.77e-07,-4.08e-08,-5.58e-08,3.53e-08,"d","1-0","Q","0"
