"Tag","petri_dish","population","family","common_garden","ID","gh_bench","gh_col","gh_row","Row_Field","Col_Field","GM_Leaf_Len","GM_Leaf_Wid","GM_TotalLeaf_Area","GM_NumberOfLeaves","GM_StemHeight_Bolt","GM_Leaf_Number_Bolt","Larg_Leaf_Len_Bolt","Larg_Leaf_Wid_Bolt","ChlorA","ChlorB","gluc_Conc","flav_Conc","RGR1","RGR2","RGR3","RGR4","mortality"
"e|KVEDG1-1-80|Q|299","e","KVEDG1","1-80","Q","299",4,5,11,4,6,50,42,6553,2,58,14,9,16,0.25815365,0.0932841200000001,0.1534751475,0.097535477476,1.14e-06,-1.14e-07,-3.11e-08,-1.74e-07,"1"
"e|KVEDG1-1-80|Q|299","e","KVEDG1","1-80","Q","299",4,5,11,4,6,61,73,6553,2,58,14,9,16,0.22725666,0.07094859,0.18789309366,0.124666566346,1.14e-06,-1.14e-07,-3.11e-08,-1.74e-07,"1"
"e|KVEDG1-1-80|Q|300","e","KVEDG1","1-80","Q","300",4,4,11,4,6,35,37,1295,1,134,11,24,21,0.396508655,0.104098385,0.26724749658,0.133136231614,1.58e-06,6.07e-07,-1.92e-07,-4.44e-08,"1"
"b|MAVBEL2-1-20|N|315","b","MAVBEL2","1-20","N","315",2,4,8,1,3,45,42,8221,3,40,6,10,10,0.22133461,0.38456083,0.14811243144,0.080661131584,1.67e-06,7.43e-08,-1.76e-08,1.51e-08,"1"
"b|MAVBEL2-1-20|N|315","b","MAVBEL2","1-20","N","315",2,4,8,1,3,56,61,8221,3,40,6,10,10,0.21495011,0.09075324,0.11074585362,0.069397126624,1.67e-06,7.43e-08,-1.76e-08,1.51e-08,"1"
"d|MAVBEL2-1-20|N|322","d","MAVBEL2","1-20","N","322",3,2,22,8,3,58,53,8923,4,53,9,21,22,0.35752229295053,0.126485706746172,0.203096599080347,0.108101937554212,1.8e-06,7.19e-07,-7.83e-08,1.94e-08,"1"
"d|MAVBEL2-1-20|N|322","d","MAVBEL2","1-20","N","322",3,2,22,8,3,59,63,8923,4,53,9,21,22,0.421980865,0.12291414,0.20687814312,0.123886750618,1.8e-06,7.19e-07,-7.83e-08,1.94e-08,"1"
"c|MHBUR1-4-20|Q|335","c","MHBUR1","4-20","Q","335",1,1,19,6,5,52,53,12764,5,3,3,4,4,0.613337605,0.223533285,0.2497798716,0.126876044242,7.56e-07,8.37e-07,5.79e-08,3.38e-08,"1"
"c|MHBUR1-4-20|Q|335","c","MHBUR1","4-20","Q","335",1,1,19,6,5,67,70,12764,5,3,3,4,4,0.537634875,0.26105286,0.17984039784,0.109102744108,7.56e-07,8.37e-07,5.79e-08,3.38e-08,"1"
"c|MHBUR1-4-20|Q|340","c","MHBUR1","4-20","Q","340",1,2,7,2,1,53,57,10512,3,73,9,16,14,0.31280626,0.127109845,0.16138989564,0.064761555352,8.1e-07,4.29e-07,5.46e-08,-2.64e-08,"1"
"c|MHBUR1-4-20|Q|340","c","MHBUR1","4-20","Q","340",1,2,7,2,1,61,66,10512,3,73,9,16,14,0.15365829,0.0575238149999999,0.08074223322,0.039244251808,8.1e-07,4.29e-07,5.46e-08,-2.64e-08,"1"
"c|MHBUR1-4-20|Q|349","c","MHBUR1","4-20","Q","349",1,6,8,2,1,45,37,11241,3,59,14,29,27,0.291285615,0.136522455,0.21225810264,0.123020288698,1.2e-06,2.98e-07,4.94e-08,-4.15e-08,"1"
"c|MHBUR1-4-20|Q|349","c","MHBUR1","4-20","Q","349",1,6,8,2,1,72,70,11241,3,59,14,29,27,0.28032248,0.114533635,0.19958415954,0.11119308349,1.2e-06,2.98e-07,4.94e-08,-4.15e-08,"1"
"c|MHBUR1-4-20|Q|350","c","MHBUR1","4-20","Q","350",3,2,3,7,5,39,44,7252,5,14,10,11,14,0.403504815,0.150485505,0.26898908604,0.076567099012,1.2e-06,6.65e-07,3.83e-07,1.46e-07,"1"
"c|MHBUR1-4-20|Q|350","c","MHBUR1","4-20","Q","350",3,2,3,7,5,48,55,7252,5,14,10,11,14,0.52686481,0.15516681,0.31915031118,0.108101937554212,1.2e-06,6.65e-07,3.83e-07,1.46e-07,"1"
"b|MHBUR1-4-20|Q|354","b","MHBUR1","4-20","Q","354",1,2,9,3,1,40,37,10708,5,35,11,14,15,0.622048725,0.167721415,0.24769341294,0.09175184416,4.55e-07,2.66e-07,8.86e-07,2.42e-07,"1"
"b|MHBUR1-4-20|Q|354","b","MHBUR1","4-20","Q","354",1,2,9,3,1,50,58,10708,5,35,11,14,15,0.444814105,0.17696139,0.2479693083,0.072483897214,4.55e-07,2.66e-07,8.86e-07,2.42e-07,"1"
"d|MHBUR1-4-20|Q|355","d","MHBUR1","4-20","Q","355",3,5,21,4,2,42,38,13313,4,110,24,48,40,0.36601729,0.135153105,0.2724550215,0.131165030746,6.34e-07,3.56e-07,2.21e-08,1.95e-07,"1"
"d|MHBUR1-4-20|Q|355","d","MHBUR1","4-20","Q","355",3,5,21,4,2,58,60,13313,4,110,24,48,40,0.44764696,0.11259494,0.25864301004,0.172863510646,6.34e-07,3.56e-07,2.21e-08,1.95e-07,"1"
