"Tag","petri_dish","population","family","common_garden","ID","gh_bench","gh_col","gh_row","Row_Field","Col_Field","z_RGR1","z_RGR2","z_RGR3","z_RGR4","z_ChlorA","z_ChlorB","z_gluc_Conc","z_flav_Conc","z_Leaf_Len","z_Leaf_Wid","z_TotalLeaf_Area","z_NumberOfLeaves","mortality"
"c|CBMCK1-2-80|N|i111","c","CBMCK1","2-80","N","i111",4,4,16,8,4,1.3098141069313,-0.309923781304218,-0.112809441090204,-0.0820895747048244,-0.0933117710793803,0.278199631004957,-0.776046334810638,0.16032705219216,-1.53788954700117,-1.882132324037,0.408214741950224,0.112804254517106,"0"
"c|CBMCK1-2-80|N|i111","c","CBMCK1","2-80","N","i111",4,4,16,8,4,1.3098141069313,-0.309923781304218,-0.112809441090204,-0.0820895747048244,-1.03929800626668,-0.91189712049669,-1.76208387115706,0.111858094715294,1.65280556383552,0.970989745366267,0.408214741950224,0.112804254517106,"0"
"e|CBMCK1-2-80|N|i112","e","CBMCK1","2-80","N","i112",3,3,7,NA,NA,1.71359987782797,0.31487630317807,0.0921256420947152,0.799244299953437,0.378069578758834,-0.0837073168553483,1.02601350287814,0.809329830322118,-0.899750524833828,-1.02619570321602,0.19908922918993,1.40867751982337,NA
"e|CBMCK1-2-80|N|i112","e","CBMCK1","2-80","N","i112",3,3,7,NA,NA,1.71359987782797,0.31487630317807,0.0921256420947152,0.799244299953437,0.468966173351047,0.340817752898953,-0.0327061817659784,0.328421521739591,0.775364408355434,0.757005590161022,0.19908922918993,1.40867751982337,NA
"d|CBMCK1-3-60|N|i114","d","CBMCK1","3-60","N","i114",2,6,3,1,2,1.82576259196594,0.410433963157714,0.376596779354347,0.0926294031329033,-0.525197145410606,0.887864463999535,1.44635012275365,3.09183960086392,-1.29858741368841,-1.95346037577209,1.07118085413265,1.40867751982337,"0"
"d|CBMCK1-3-60|N|i114","d","CBMCK1","3-60","N","i114",2,6,3,1,2,1.82576259196594,0.410433963157714,0.376596779354347,0.0926294031329033,0.0781671430687475,-1.54767215858302,0,0,0.695597030584517,0.471693383220695,1.07118085413265,1.40867751982337,"0"
"d|CBMCK1-3-60|N|i115","d","CBMCK1","3-60","N","i115",4,2,16,8,4,1.06305613582777,-0.374608966521208,-0.588336076984539,0.114298562447848,-0.934797463408136,-0.80360700709022,-0.508443879714561,2.13311674694207,-0.899750524833828,-1.02619570321602,0.405567583560853,1.40867751982337,"1"
"d|CBMCK1-3-60|N|i116","d","CBMCK1","3-60","N","i116",3,6,12,2,5,1.3098141069313,-0.258469656699794,0.360906814210625,-0.169494587067627,0.32373418955499,-1.25525638864939,0,0,-0.26161150266649,-0.52689934107045,0.239090733740422,0.112804254517106,"1"
"d|CBMCK1-3-60|N|i116","d","CBMCK1","3-60","N","i116",3,6,12,2,5,1.3098141069313,-0.258469656699794,0.360906814210625,-0.169494587067627,0,0,0,0,0.934899163897269,0.757005590161022,0.239090733740422,0.112804254517106,"1"
"d|CBMCK1-3-60|N|i117","d","CBMCK1","3-60","N","i117",4,2,12,3,6,0.950893421689809,-1.48601805797676,1.05911026310624,-0.584668395790941,0.0383067536887869,0.544789638580264,0.132734652296269,0.973986785154878,-0.979517902604746,-0.954867651480941,0.49233555299023,0.112804254517106,"1"
"d|CBMCK1-3-60|N|i117","d","CBMCK1","3-60","N","i117",4,2,12,3,6,0.950893421689809,-1.48601805797676,1.05911026310624,-0.584668395790941,-0.157942413796412,-0.276833189243931,-0.716070855795753,-0.15317428978587,1.73257294160644,0.186381176280368,0.49233555299023,0.112804254517106,"1"
